Issue Type,Issue Key,Summary,Description,Epic Link,Parent,Story Points,Priority,Labels,Components,Sprint
Epic,FND-E1,Foundation: Data Clients & Infrastructure,"Polygon, UW, Alpaca clients. Secrets management. Fixture system. Required by Scalp Brain, Swing Brain, and S5 Strategy.",,,,Critical,"foundation,infra",trading-system,
Epic,FND-E2,Foundation: API Contracts & Change Monitoring,Documentation of every API endpoint. UW change monitoring. Pre-Phase-1 BLOCKER: verify UW GEX update cadence.,,,,Critical,"foundation,api",trading-system,
Epic,SCALP-E1,Scalp Brain: 7-State Classifier Core,"Implement the 7-state classifier (NEUTRAL, SURGE_IGNITION/CONTINUATION/CLIMAX/REVERSE, TANK_*) per v2.2 sec B4. Live + replay.",,,,Critical,"scalp,core,build-scalp-brain",trading-system,
Epic,SCALP-E2,Scalp Brain: Score Formulas,"Implement reversal_score, ignition_score, continuation_score, climax_score per v2.2 sec B4 formulas.",,,,Critical,"scalp,scores,build-scalp-brain",trading-system,
Epic,SCALP-E3,Scalp Brain: Replay & Fixture Determinism,Historical replay reproducing same state sequence and scores deterministically. Required for S5 sub-edge validation.,,,,High,"scalp,replay,build-scalp-brain",trading-system,
Epic,SCALP-E4,Scalp Brain: Pubsub Publisher,Publish state changes to Redis pubsub channel scalp.price_trigger. Subscribed by Swing Brain.,,,,Critical,"scalp,integration,build-scalp-brain",trading-system,
Epic,SWING-E1,Swing Brain: 7-Stage Lifecycle State Machine (S5-only),Implement the 7-stage lifecycle (Inducement -> Setup -> Trigger -> Entry -> Manage -> Exit -> Journal) for S5 candidates only. Per v2.2.,,,,Critical,"swing,lifecycle,build-swing-brain",trading-system,
Epic,SWING-E2,Swing Brain: Pre-staging & Candidate Registry,"Scan for S5 setup conditions, pre-stage candidates with TTL, manage state transitions. Listen on scalp.price_trigger.",,,,Critical,"swing,pre-staging,build-swing-brain",trading-system,
Epic,S5-E1,S5 Phase 0: Sub-edge Validation,"Validate gamma proximity, reversal microstructure, composed S5, and ML-gated S5 as separate sub-edges.",,,,Critical,"s5,phase-0,validation",trading-system,
Epic,S5-E3,S5 Phase 2: Rules-Only Backtest,"Deterministic S5 setup gate, scalp reversal trigger, fake-breakout reject. 12mo backtest. Pass: net positive EV.",,,,High,"s5,phase-2,backtest",trading-system,
Epic,S5-E4,S5 Phase 3: Build ML Transition Model,"ML transition probability model: trade-outcome labeling, training, calibration, EV-curve threshold, registry. Per v2.2 sec 16-20 + ChatGPT review.",,,,High,"s5,phase-3,ml,build-ml-transition-model",trading-system,
Epic,S5-E5,S5 Phase 4: ML-Filtered Backtest Comparison,Compare rules-only vs ML-gated backtest on identical-cost holdout. Pass: ML improves net EV by >= 15%.,,,,High,"s5,phase-4,backtest,ml",trading-system,
